Компания(последняя дата покупки дивидендов);Минимальная стоимость за месяц перед последней датой;Стоимость акции в последний день;Стоимость акции на следующий день после последней даты;Максимальная стоимость за месяц после последней даты;
Газпром (GAZP 2016-07-18);138.52p. (+5.28%) 15 рабоч.дней_перед;145.84;139.48;140.70p. (-3.52%) 5 рабоч.дней_после
ФосАгро (PHOR 2016-08-08);2517.00p. (+8.10%) 17 рабоч.дней_перед;2721.00;2670.00;2670.00p. (-1.87%) 1 рабоч.дней_после
Акрон (AKRN 2016-09-16);3510.00p. (+7.41%) 22 рабоч.дней_перед;3770.00;3580.00;3580.00p. (-5.04%) 1 рабоч.дней_после
Магнит (MGNT 2016-09-21);10097.80p. (+4.73%) 4 рабоч.дней_перед;10575.60;10627.20;10715.60p. (+1.32%) 3 рабоч.дней_после
Корпорация ВСМПО-АВИСМА (VSMO 2016-09-29);12960.00p. (+10.80%) 23 рабоч.дней_перед;14360.00;13250.00;13470.00p. (-6.20%) 2 рабоч.дней_после
АФК Система (AFKS 2016-10-05);20.16p. (+3.17%) 13 рабоч.дней_перед;20.80;20.39;20.67p. (-0.62%) 11 рабоч.дней_после
ТМК (TRMK 2016-10-06);53.85p. (+14.30%) 22 рабоч.дней_перед;61.55;60.90;68.90p. (+11.94%) 17 рабоч.дней_после
НОВАТЭК (NVTK 2016-10-07);639.10p. (+5.48%) 13 рабоч.дней_перед;674.10;674.50;681.30p. (+1.07%) 2 рабоч.дней_после
ММК (MAGN 2016-10-07);28.56p. (+3.45%) 5 рабоч.дней_перед;29.55;29.00;32.01p. (+8.34%) 17 рабоч.дней_после
НЛМК (NLMK 2016-10-10);81.79p. (+7.41%) 15 рабоч.дней_перед;87.85;85.86;112.66p. (+28.24%) 22 рабоч.дней_после
ФосАгро (PHOR 2016-10-12);2421.00p. (+1.03%) 3 рабоч.дней_перед;2446.00;2429.00;2429.00p. (-0.70%) 1 рабоч.дней_после
