Компания(последняя дата покупки дивидендов);Рабочих дней от минимальной стоимости до конечной даты;От минимальной стоимости до стоимости в последней дате;Стоимость акции в последний день для получения дивидендов;Стоимость акции на следующий день после последнего дня покупки для получения дивидендов;От стоимости с последней даты до максимальной стоимости после;Рабочих дней от конечной даты до максимальной стоимости;
Акрон (AKRN 2017-07-07);16;+11.42%;3250.00;3176.00;+2.31%;16
КАМАЗ (KMAZ 2017-07-10);16;+3.21%;51.50;51.45;+4.95%;21
Аэрофлот (AFLT 2017-07-12);18;+28.83%;225.00;211.50;-4.58%;6
ФосАгро (PHOR 2017-07-13);21;+8.85%;2361.00;2341.00;+2.67%;21
Полюс (PLZL 2017-07-13);6;+3.87%;4059.00;3925.81;+5.94%;21
Детский мир (DSKY 2017-07-13);6;+2.68%;91.80;90.00;+0.22%;19
МОСТОТРЕСТ (MSTT 2017-07-14);20;+11.33%;115.00;105.50;+4.52%;21
ФСК ЕЭС (FEES 2017-07-17);20;+14.76%;0.18;0.17;-1.61%;16
Россети, АП (RSTIP 2017-07-17);20;+17.35%;2.34;1.96;-16.45%;1
Россети (RSTI 2017-07-17);20;+14.29%;0.85;0.85;+9.85%;21
Сургутнефтегаз (SNGS 2017-07-17);20;+8.05%;26.85;26.41;+2.87%;13
Сургутнефтегаз, АП (SNGSP 2017-07-17);20;+4.10%;28.93;28.64;+2.97%;17
Транснефть, АП (TRNFP 2017-07-18);11;+12.06%;176500.00;175700.00;+2.27%;9
Газпром (GAZP 2017-07-18);21;+6.10%;124.49;120.11;-3.12%;2
АК АЛРОСА (ALRS 2017-07-18);19;+17.59%;96.00;89.34;-6.94%;1
Магнит (MGNT 2017-09-13);18;+14.62%;10627.20;10363.00;-2.20%;5
Полюс (PLZL 2017-09-21);23;+6.98%;4600.00;4450.00;+4.02%;19
Акрон (AKRN 2017-09-22);21;+4.61%;3657.00;3450.00;-2.41%;18
Северсталь (CHMF 2017-09-22);21;+2.68%;882.30;875.90;+3.69%;13
Московская Биржа (MOEX 2017-09-27);21;+11.69%;117.10;114.94;+3.94%;13
НОВАТЭК (NVTK 2017-10-06);22;+12.89%;677.10;666.10;+0.66%;3
ММК (MAGN 2017-10-06);22;+9.09%;44.60;44.17;+4.19%;6
НК Роснефть (ROSN 2017-10-06);22;+5.81%;320.60;319.10;+2.31%;7
НЛМК (NLMK 2017-10-10);13;+7.76%;137.40;135.89;-0.18%;10
ФосАгро (PHOR 2017-10-11);22;+4.76%;2378.00;2356.00;+3.20%;18
МТС (MTSS 2017-10-11);12;+5.19%;291.95;282.50;+0.34%;21
Корпорация ВСМПО-АВИСМА (VSMO 2017-10-17);14;+11.41%;17970.00;17250.00;-3.17%;19
ГМК Норильский никель (GMKN 2017-10-17);21;+12.39%;10730.00;10756.00;+8.20%;14
Северсталь (CHMF 2017-12-01);15;+3.18%;912.50;875.50;-1.22%;10
АФК Система (AFKS 2017-12-06);4;+12.42%;11.99;10.20;+14.68%;13
Детский мир (DSKY 2017-12-13);1;+2.32%;94.70;92.00;+5.44%;19
Юнипро (UPRO 2017-12-14);4;+3.11%;2.65;2.59;-1.51%;2
ММК (MAGN 2017-12-15);11;+0.39%;44.10;42.57;+3.72%;18
МОСТОТРЕСТ (MSTT 2017-12-15);7;+5.95%;163.80;157.00;-4.15%;1
ЛУКОЙЛ (LKOH 2017-12-20);22;+2.80%;3373.00;3332.50;+15.86%;14
Татнефть им. В.Д. Шашина (TATN 2017-12-21);15;+3.34%;471.95;481.60;+18.66%;17
Татнефть им. В.Д. Шашина, АП (TATNP 2017-12-21);16;+7.64%;367.90;368.00;+13.48%;17
САФМАР Финансовые инвестиции (SFIN 2017-12-22);16;+23.97%;768.00;785.00;+2.73%;7
НЛМК (NLMK 2018-01-04);20;+14.21%;153.00;146.46;+2.71%;11
Акрон (AKRN 2018-01-19);14;+9.68%;4180.00;4070.00;+2.94%;15
ФосАгро (PHOR 2018-03-07);18;+5.77%;2491.00;2447.00;-1.77%;1
ЦМТ, АП (WTCMP 2018-04-30);17;+17.17%;7.03;6.67;-0.43%;16
ЦМТ (WTCM 2018-04-30);10;+7.05%;8.35;8.05;-3.59%;1
НОВАТЭК (NVTK 2018-04-30);15;+8.51%;770.00;758.20;+7.53%;19
Московская Биржа (MOEX 2018-05-11);20;+9.15%;122.18;119.15;-2.48%;1
Детский мир (DSKY 2018-05-25);20;+6.93%;96.50;93.10;-1.55%;4
